time,gr,tx,ty,tz,rx,ry,rz,qw,qx,qy,qz
9.333,-3.2833332852533204e-07,0.52502,0.20415,0.18538,-0.10317,-0.06942,-0.02611,0.99796,-0.05198,-0.03398,-0.01482
9.4,-3.2833332852533204e-07,0.52784,0.18558,0.19781,-0.10408,-0.06855,-0.02034,0.99799,-0.05233,-0.03369,-0.01193
9.467,-3.2833332852533204e-07,0.53073,0.16614,0.20971,-0.10685,-0.06587,-0.0165,0.99798,-0.05364,-0.03244,-0.00999
9.533,0.0,0.53345,0.14551,0.22106,-0.11028,-0.06169,-0.01463,0.99797,-0.05531,-0.03039,-0.009
9.6,0.0,0.5357,0.12327,0.23093,-0.11219,-0.05596,-0.01433,0.998,-0.05624,-0.02753,-0.00872
9.667,-3.2833332852533204e-07,0.53724,0.09996,0.23871,-0.10983,-0.04988,-0.01519,0.99814,-0.05506,-0.02448,-0.00895
9.733,-3.2833332852533204e-07,0.5385,0.07446,0.24439,-0.10245,-0.04365,-0.01657,0.99841,-0.05137,-0.02137,-0.00939
9.8,-3.2833332852533204e-07,0.53896,0.04768,0.24785,-0.09201,-0.03823,-0.01792,0.99871,-0.04615,-0.01868,-0.00983
9.867,-3.2833332852533204e-07,0.53828,0.0196,0.249,-0.08363,-0.03636,-0.01838,0.99891,-0.04196,-0.01778,-0.00994
9.933,-3.2833332852533204e-07,0.53643,-0.00948,0.24831,-0.07531,-0.03803,-0.01814,0.99906,-0.03781,-0.01866,-0.00978
10.0,-3.2833332852533204e-07,0.53362,-0.0383,0.24652,-0.06607,-0.04113,-0.01762,0.9992,-0.0332,-0.02026,-0.00948
10.067,-3.2833332852533204e-07,0.53009,-0.06642,0.24452,-0.05489,-0.04413,-0.017,0.99934,-0.02762,-0.02182,-0.0091
10.133,-3.2833332852533204e-07,0.52572,-0.09344,0.24221,-0.04051,-0.04746,-0.01619,0.99948,-0.02044,-0.02356,-0.00857
10.2,-3.2833332852533204e-07,0.52049,-0.11815,0.23843,-0.02549,-0.05318,-0.01507,0.99953,-0.01294,-0.02649,-0.00787
10.267,-3.2833332852533204e-07,0.51513,-0.14019,0.23285,-0.01209,-0.06046,-0.0139,0.9995,-0.00625,-0.03018,-0.00713
10.333,-3.2833332852533204e-07,0.51119,-0.15867,0.22571,-0.00286,-0.06735,-0.01025,0.99942,-0.0016,-0.03366,-0.00517
10.4,0.0,0.50892,-0.1742,0.21625,0.00077,-0.07257,-0.00357,0.99934,0.00032,-0.03628,-0.00177
10.466,0.0,0.50791,-0.18646,0.20456,0.00044,-0.07628,0.00529,0.99927,0.00032,-0.03813,0.00265
10.534,0.0,0.50742,-0.19523,0.19121,-0.00122,-0.07953,0.01458,0.99918,-0.00032,-0.03976,0.00726
